Behavior,Potential_Strategies,Score_Variation,Score_Variation__Text_,Segment_1
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,324,324',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,325,325',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,334,334',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,343,343',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,434,434',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,443,443',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,534,534',06- Need Attention
Above average in recency- frequency and monetary value- but no recent purchases.,Launch limited-time offers and recommendations based on previous orders. Reactivate,535,535',06- Need Attention
Below average in recency- frequency and monetary value. At risk of losing them if you don’t reactivate.,Share useful information. Recommend popular products to them. Offer new discounts. Reconnect,213,213',08- About To Sleep
Below average in recency- frequency and monetary value. At risk of losing them if you don’t reactivate.,Share useful information. Recommend popular products to them. Offer new discounts. Reconnect,221,221',08- About To Sleep
Below average in recency- frequency and monetary value. At risk of losing them if you don’t reactivate.,Share useful information. Recommend popular products to them. Offer new discounts. Reconnect,312,312',08- About To Sleep
Below average in recency- frequency and monetary value. At risk of losing them if you don’t reactivate.,Share useful information. Recommend popular products to them. Offer new discounts. Reconnect,321,321',08- About To Sleep
Below average in recency- frequency and monetary value. At risk of losing them if you don’t reactivate.,Share useful information. Recommend popular products to them. Offer new discounts. Reconnect,331,331',08- About To Sleep
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,313,313',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,314,314',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,315,315',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,413,413',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,414,414',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,415,415',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,424,424',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,425,425',05- Promising
Completed a recent purchase- but didn’t spend a lot.,Create brand awareness. Offer discounts,513,513',05- Promising
